File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\dispatchRequest.js,80,52,33,6,14,0,14,61,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\enhanceError.js,20,9,8,2,2,0,9,50,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\InterceptorManager.js,53,25,20,3,7,0,21,108,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\settle.js,26,15,9,1,3,0,8,46,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core\transformData.js,21,8,8,1,4,0,9,53,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\bind.js,12,10,9,3,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\btoa.js,37,25,19,3,6,0,6,45,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\buildURL.js,69,49,34,10,12,0,8,41,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\combineURLs.js,13,4,4,1,2,0,7,33,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\cookies.js,54,40,29,7,12,0,2,15,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\deprecatedMethod.js,25,12,8,1,4,1,9,56,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\isAbsoluteURL.js,15,4,3,1,2,1,9,72,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\isURLSameOrigin.js,69,41,24,6,11,0,17,108,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers\normalizeHeaderName.js,13,10,9,1,3,0,0,0,0,0
